GT BAROMETRIC PRESSURE,GT COMPRESSOR INLET AIR TEMPERATURE,GT COMPRESSOR OUTLET AIR TEMPERATURE,GT EXHAUST GAS AVERAGE TEMPERATURE (EXHAUST),GT EXHAUST GAS DUCT PRESSURE,GT ACTLD,GT IGV POSITION,GT MAIN A FUEL GAS FLOW,»»÷µ
906.6,11.6,405.9,566,2.2108,204.91,32.56,3.5,24.4
906.6,11.5,406.3,565.8,2.2081,204.75,32.33,3.5,24.4
906.6,11.1,405.6,565.1,2.2076,204.75,33.15,3.5,24.4
906.5,12.5,406.5,566.6,2.2028,205.38,33.16,3.5,24.4
906.5,12.5,407.3,566.7,2.2102,204.65,32.89,3.5,24.4
906.5,12.2,407.1,566.2,2.2102,204.7,32.55,3.5,24.4
906.4,11.6,406.3,565.3,2.2117,205.17,32.69,3.5,24.4
906.4,11.8,406.4,565.8,2.2032,204.86,32.91,3.5,24.4
906.4,12,406.3,566,2.2104,205.12,32.79,3.5,24.4
906.4,12,406.5,566,2.208,204.8,32.9,3.5,24.4
906.3,12,406.5,566,2.2062,205.23,32.93,3.5,24.4
906.3,12,406.5,566.2,2.2067,204.91,32.42,3.5,24.4
906.3,11.2,406,565.1,2.206,204.96,32.38,3.5,24.4
906.2,11,405.6,564.9,2.2095,204.8,32.3,3.5,24.4
906.2,11,405.4,564.5,2.2017,204.91,32.58,3.5,24.4
906.2,11.4,405.7,565.5,2.2105,204.7,32.45,3.5,24.4
906.2,11.3,405.6,565.3,2.2103,205.01,32.43,3.5,24.4
906.1,11.2,405.3,565.2,2.2061,204.39,32.6,3.5,24.4
906.1,11.3,405.1,565.4,2.2079,205.38,32.67,3.5,24.4
906,11.3,405.5,565.5,2.2107,205.49,32.59,3.5,24.4
906,11.2,405.3,564.9,2.2072,205.43,32.76,3.5,24.4
906,11.4,405.7,565.5,2.2149,205.54,32.47,3.5,24.4
905.9,11,405.8,564.9,2.2107,205.01,32.71,3.5,24.4
905.9,11.2,405.6,565.2,2.2077,206.01,32.14,3.5,24.4
906,10.3,405,564.4,2.2138,205.33,31.74,3.5,24.4
906,9.7,404,563.4,2.2113,204.91,31.54,3.5,24.4
906,9.6,403.3,563.1,2.2093,204.33,32.04,3.5,24.4
906,10.1,403.3,564.2,2.2094,205.12,32.75,3.5,24.4
906,10.1,403.7,564.4,2.2275,206.64,33.3,3.5,24.4
906,10.8,404.7,565.3,2.2327,206.85,33.25,3.5,24.4
906,10.6,405,564.9,2.2318,206.7,33.17,3.5,24.4
906,10.7,405,564.8,2.23,206.8,33.25,3.5,24.4
905.9,10.8,405.1,565.1,2.2283,206.59,33.22,3.5,24.4
905.9,10.9,405.3,565.3,2.2342,207.06,33.14,3.5,24.4
905.9,10.6,405.2,564.7,2.2361,206.59,32.75,3.5,24.4
905.9,10,404.8,564.1,2.2309,206.27,32.73,3.5,24.4
905.9,9.8,404.3,564,2.2356,206.8,32.58,3.5,24.4
905.9,9.4,404.2,563.7,2.2373,206.75,32.5,3.5,24.4
905.9,9.4,403.5,563.5,2.2388,207.27,32.25,3.5,24.4
905.9,8.9,402.8,562.8,2.2298,206.7,32.35,3.5,24.4
905.9,8.9,402.9,563,2.2314,206.85,32.39,3.5,24.4
905.8,8.8,402.5,562.9,2.2352,206.75,32.12,3.5,24.4
905.8,8.5,401.8,562.3,2.2327,207.01,32.4,3.5,24.4
905.9,8.9,401.6,562.6,2.2274,206.8,32.13,3.5,24.4
905.9,8.8,402,562.4,2.2246,206.43,32.49,3.5,24.4
905.9,9.3,402.3,563.4,2.2267,206.7,32.62,3.5,24.4
906,9.3,402.5,563.6,2.2273,206.9,32.76,3.5,24.4
905.9,9.8,402.9,564,2.2297,206.85,32.89,3.5,24.4
905.8,9.9,403.2,564.3,2.2288,207.17,33,3.5,24.4
905.8,10,403.5,564.2,2.2277,207.11,32.72,3.5,24.4
905.8,9.6,403.4,563.7,2.2379,206.9,32.51,3.5,24.4
905.9,9.4,403.5,563.3,2.2282,206.75,31.94,3.5,24.4
905.9,8.3,402.3,562,2.2311,206.49,31.87,3.5,24.4
905.9,7.8,401,561.7,2.2271,206.9,31.71,3.5,24.4
905.9,7.5,400.4,561.2,2.2319,206.54,31.74,3.5,26.982
906,7.4,400.3,561.2,2.231,207.27,31.83,3.5,26.983
906,7.8,400.4,561.5,2.228,207.01,31.7,3.5,26.982
906.1,7.4,400,560.9,2.2321,207.27,31.66,3.5,26.983
906.1,7.3,399.4,560.6,2.2297,207.43,31.8,3.5,26.983
906.1,7.2,399.3,560.8,2.2338,207.48,31.54,3.5,26.983
906.1,6.9,399,560.3,2.2334,207.32,31.38,3.5,26.984
906.2,6.5,398.9,559.8,2.233,207.27,31.41,3.5,26.983
906.2,6.5,398.2,560,2.2318,207.27,31.49,3.5,26.984
906.1,6.6,398.4,560.1,2.2292,207.11,31.54,3.5,26.983
906.1,6.6,398.3,560.2,2.2317,207.32,31.4,3.5,26.983
906.1,6.6,398.2,560,2.2284,207.54,31.54,3.5,26.984
906.1,6.8,398.3,560.2,2.2267,207.22,31.72,3.5,26.983
906.1,7.1,398.8,560.8,2.2256,207.38,32.25,3.5,26.983
906.2,7.8,399.4,561.8,2.2289,207.54,32.25,3.5,26.983
906.1,8.1,400,562.1,2.2301,207.59,32.34,3.5,26.984
906.1,8.3,400.7,562.5,2.2304,207.32,32,3.5,26.983
906.1,7.7,400.6,561.9,2.2331,207.38,39.94,3.7,26.983
906.1,7.5,402.1,563,2.4194,223.23,57.22,3.9,26.984
906.1,7.5,409.4,561.7,2.8249,248.64,74.38,4.1,26.984
906.1,8.2,419.3,562.3,3.2384,272.63,74.46,4.1,26.984
906.1,8.6,425.5,572.4,3.2722,280.67,74.42,4.2,26.983
906.1,8.7,427.9,579.7,3.2991,284.45,74.4,4.2,26.984
906.1,9.1,429.9,586,3.3171,287.49,74.4,4.2,26.984
906.1,9,430.3,590.4,3.3343,289.96,74.4,4.2,26.984
906.1,8.4,429.7,588.6,3.3366,286.97,74.43,4.2,26.984
906.2,8.8,429.6,587.4,3.3274,287.23,74.44,4.2,26.983
906.2,9,430.3,590.2,3.3209,288.54,74.43,4.2,26.984
906.2,9.1,430.7,592.7,3.3272,290.12,74.44,4.2,26.984
906.3,9.3,431.1,592.6,3.3272,289.17,74.4,4.2,26.984
906.3,9.3,431.2,592.7,3.3275,288.38,74.39,4.2,26.985
906.3,9.5,431.3,592.8,3.3255,288.96,74.42,4.2,26.984
906.3,9.3,431.4,592.8,3.3293,288.33,74.4,4.2,26.984
906.4,9.3,431.4,592.3,3.3238,288.28,74.45,4.2,26.985
906.4,9.2,431.1,592.4,3.327,289.12,74.45,4.2,26.984
906.5,9.3,431.1,592.6,3.3224,289.38,74.44,4.2,26.985
906.5,9.2,431.1,592.6,3.3248,288.8,74.39,4.2,26.984
906.5,9,431.1,592.1,3.3283,289.65,74.46,4.2,26.984
906.5,9,431,592.2,3.3266,288.96,74.43,4.2,26.985
906.5,9.1,431.2,592.5,3.3295,289.59,74.36,4.2,32.535
906.5,9.1,431.3,592.3,3.3255,289.17,74.47,4.2,34.534
906.5,9.1,431.2,592.6,3.3207,288.6,74.43,4.2,34.554
906.5,9.2,431.2,592.4,3.3236,289.96,74.44,4.2,34.643
906.4,9.1,431,592.6,3.3186,288.49,74.41,4.2,34.636
906.4,9.5,431.3,592.4,3.3125,288.7,74.38,4.2,34.66
906.5,9.5,431.5,592.6,3.3244,288.49,74.45,4.2,34.73
906.6,9.5,431.6,592.4,3.3213,288.91,74.41,4.2,34.737
906.6,9.7,431.8,593.2,3.3172,287.65,74.45,4.2,34.784
906.6,9.7,431.6,592.5,3.312,288.7,74.4,4.2,34.804
906.7,9.7,431.4,592.9,3.306,288.28,74.41,4.2,34.832
906.6,9.9,431.7,592.8,3.319,287.39,74.47,4.2,34.869
906.6,10.1,431.7,593.2,3.3056,288.02,74.46,4.2,34.861
906.6,10.2,432.1,593.1,3.2988,287.39,74.39,4.2,34.889
906.6,10.3,432,593.3,3.2955,287.13,74.47,4.2,34.905
906.6,10.1,432.2,593,3.3034,286.97,74.45,4.2,34.89
906.5,10.3,432.2,593.4,3.2953,287.18,74.43,4.2,34.919
906.5,10.4,432.6,593.5,3.2957,287.18,74.41,4.2,34.915
906.5,10.7,432.8,593.5,3.2878,286.23,74.41,4.2,34.952
906.5,10.9,432.9,593.8,3.2855,286.34,74.41,4.2,34.975
906.5,11.3,433.4,593.7,3.2814,285.23,74.41,4.2,34.997
906.5,11.5,433.8,593.8,3.2707,285.13,74.41,4.2,34.988
906.5,11.9,434.3,594.5,3.266,284.4,74.47,4.2,35.012
906.5,12.2,434.9,594.1,3.2601,284.03,74.46,4.2,34.998
906.4,12.3,435,594.8,3.2542,283.45,74.49,4.2,35.01
906.4,12.4,435.1,594.6,3.2444,284.08,74.42,4.2,35.015
906.4,12.4,435.6,594.6,3.2503,283.61,74.38,4.2,35.022
906.4,12.6,435.5,594.8,3.2424,283.29,74.45,4.2,35.016
906.4,12.8,435.7,594.9,3.2455,282.87,74.4,4.2,35.014
906.4,13,435.7,595.1,3.2402,282.82,74.42,4.2,35.004
906.4,12.8,435.8,594.9,3.2454,282.45,74.42,4.2,35.012
906.3,12.6,435.8,594.8,3.2604,283.29,74.43,4.2,35.014
906.3,12.6,435.6,595,3.2365,283.45,74.43,4.2,35.006
906.3,13,436,594.9,3.2387,282.61,74.38,4.2,35.02
906.2,13.1,436.3,595,3.2275,282.56,74.45,4.2,35.027
906.3,13.3,436.5,595,3.2294,282.08,74.44,4.2,35.015
906.3,13.4,436.6,595.5,3.2174,281.82,74.39,4.2,35.024
906.3,13.5,436.9,595.7,3.2212,281.09,74.44,4.2,35.035
906.3,13.8,437.3,595.4,3.2211,281.67,74.41,4.2,35.008
906.2,13.8,437.3,595.6,3.221,281.09,74.46,4.2,35.027
906.2,14,437.6,595.7,3.2238,281.14,74.43,4.2,35.033
906.3,14.1,437.7,595.6,3.2077,281.4,74.43,4.1,35.036
906.3,14.1,437.5,596,3.2053,280.62,74.47,4.2,35.035
906.3,13.9,437.6,595.8,3.2254,280.72,74.42,4.1,35.038
906.2,14,437.5,595.1,3.1908,276.05,74.44,4.1,35.042
906.2,14.3,436.2,582.2,3.1607,269.9,74.43,4.1,35.035
906.2,14.2,436.4,582.7,3.1641,271.58,74.46,4.1,35.035
906.1,14.2,436.5,583.8,3.167,273.27,74.39,4.1,35.043
906.1,14.5,437.1,585.9,3.1673,274.1,74.44,4.1,35.039
906,14.5,437.1,586.5,3.1643,274.47,74.42,4.1,35.043
906,14.5,437.2,587,3.1698,274.73,74.45,4.1,35.044
906,15,437.2,587.7,3.1581,274.16,74.41,4.1,35.048
906,14.9,437.4,588.1,3.1684,274.21,74.43,4.1,35.047
906,14.9,437.6,588,3.1658,274,74.42,4.1,35.048
905.9,14.7,437.5,587.6,3.1737,273.9,74.43,4.1,35.052
905.9,15.6,438,588.9,3.1442,273.68,74.41,4.1,35.05
905.9,15.6,438.1,589.4,3.142,273.9,74.41,4.1,35.046
905.9,15.2,438,588.8,3.1532,274,74.42,4.1,35.044
905.8,15,438.1,588.5,3.1634,273.68,74.39,4.1,35.048
905.7,15.4,438.1,589.1,3.149,273.84,74.46,4.1,35.035
905.7,16.2,439,591.2,3.1446,274.05,74.41,4.1,35.035
905.6,16.3,439.4,591.4,3.1409,273.74,74.44,4.1,35.052
905.6,16.6,439.8,592.6,3.1275,273.84,74.46,4.1,35.055
905.5,16.5,439.7,592.4,3.1221,273.11,74.44,4.1,35.06
905.5,16.3,439.5,591.3,3.1326,273.37,74.44,4.1,35.059
905.5,16.3,439.4,591.1,3.1341,273.05,74.49,4.1,35.06
905.5,17,440.1,592.8,3.1215,272.74,74.42,4,35.062
905.4,16.7,439.5,583.1,3.1109,259.93,66.64,3.9,35.059
905.4,16.6,434.8,572.8,2.9264,250.59,55.51,3.8,35.057
905.4,16.9,431.1,569.4,2.6881,233.84,54.07,3.8,35.055
905.4,16.9,426.8,571.4,2.6312,233.26,55.27,3.8,35.04
905.3,16.4,426,570.6,2.6659,234.47,44.84,3.7,35.055
905.2,17.4,423.8,569.4,2.4536,220.29,39.62,3.6,35.042
905.2,16.8,421.1,569.5,2.3587,212.58,39.91,3.6,35.031
905.1,16.4,418.1,570.8,2.3594,212.05,36.7,3.5,35.023
905.1,17.3,416,570.2,2.259,206.75,37.5,3.5,35.033
905.1,17.5,416.3,570.6,2.2762,207.69,38.04,3.5,35.029
905,17.7,416.9,570.8,2.2889,208.69,37.84,3.5,35.039
905,17.2,416.6,570.1,2.3032,208.95,37.89,3.5,35.035
905,16.9,416.2,569.8,2.2886,208.74,37.81,3.5,35.031
904.9,16.9,416.1,569.7,2.2985,208.74,37.8,3.5,35.033
904.9,16.8,415.8,569.4,2.2835,208.85,37.93,3.6,35.01
904.8,16.7,415.9,569.7,2.2914,209.37,37.89,3.6,35.029
904.7,16.9,415.9,569.5,2.2891,208.95,37.84,3.5,35.021
904.7,16.7,415.9,569,2.2952,209.21,37.77,3.5,35.019
904.6,16.8,415.6,569,2.2856,208.85,37.97,3.5,35.026
904.6,17,415.9,569.4,2.2955,209.21,38.25,3.6,35.037
904.5,17.2,416.3,569.5,2.2898,209.43,38.63,3.5,35.031
904.5,18.1,417.2,570,2.2929,208.95,38.33,3.5,35.013
904.4,17.9,417.5,569.9,2.2942,208.53,38.37,3.5,35.012
904.4,17.8,416.9,569.6,2.293,208.74,38.08,3.5,34.99
904.4,17.4,416.5,569.3,2.282,208.64,38.13,3.5,35.018
904.4,17.4,416.3,569.3,2.2939,208.53,38.08,3.5,35.002
904.3,17.3,416.3,569.2,2.2883,208.8,38.05,3.5,35.002
904.2,17.1,416.3,569,2.3005,208.48,38.15,3.5,35.007
904.1,17.3,416.5,569.2,2.2993,208.53,38.58,3.5,34.999
904,18.1,416.9,569.9,2.2911,208.64,38.74,3.5,34.997
904,18.2,417.9,570.4,2.2985,208.32,38.48,3.5,34.993
904,17.8,417.3,569.4,2.2918,209,38.6,3.5,35
903.9,18,417.3,569.9,2.2918,208.9,38.83,3.5,35.002
903.9,18.3,417.5,570.2,2.284,209.27,39.31,3.5,35.001
903.8,19,418.1,571,2.2934,209.43,39.22,3.5,34.985
903.7,18.9,418.8,571,2.2956,208.59,39.2,3.5,34.992
903.7,19,418.8,570.8,2.2846,208.74,37.4,3.5,34.989
903.6,18.3,418.1,569.5,2.271,205.65,37.86,3.5,34.984
903.5,19,417.5,570.3,2.2562,206.43,37.5,3.5,34.997
903.5,18.2,417.3,569.5,2.2711,206.59,38.14,3.5,34.994
903.5,19.3,417.9,570.7,2.2605,206.8,38.41,3.5,34.998
903.4,19.7,418.4,571.2,2.2661,206.59,38.5,3.5,35.012
903.4,20,419,571.3,2.2685,206.8,43.34,3.6,34.989
903.4,20,419.8,573.2,2.3545,215.78,53.58,3.7,35.009
903.4,19.7,425.4,570.5,2.576,228.33,52.52,3.7,34.985
903.3,19.6,427.3,569.3,2.5587,227.38,52.2,3.7,34.985
903.2,19.9,427.6,569.6,2.5476,226.33,51.42,3.7,34.994
903.2,19.6,427.9,569.5,2.5433,225.49,51.06,3.7,34.989
903.1,19.2,427,569.4,2.5425,225.86,51,3.7,34.991
903.1,19.1,426.7,569.2,2.5514,225.96,51.26,3.7,34.98
903,19.1,427,570,2.5484,226.07,51.5,3.7,34.977
903,19.8,427.3,570.3,2.5433,225.49,51.64,3.7,34.98
902.9,19.6,427.6,570.4,2.5405,225.75,51.57,3.7,34.97
902.8,19.6,427.4,570,2.5504,226.49,51.9,3.7,34.975
902.8,20,427.8,570.7,2.5461,225.86,51.86,3.7,34.983
